BC,BO,FRU_Score,Library_3yr_avg_per_student,Lab_New_Equipment_Software_3yr_avg_per_student,Engineering_Workshops_3yr_avg_per_student,Other_Expenditure_3yr_avg_per_student,Library_pct_share,Lab_New_Equipment_Software_pct_share,Engineering_Workshops_pct_share,Other_Expenditure_pct_share,Salaries_3yr_avg_per_student,Academic_Infra_Maintenance_3yr_avg_per_student,Seminars_Conferences_Workshops_3yr_avg_per_student,Salaries_pct_share,Academic_Infra_Maintenance_pct_share,Seminars_Conferences_Workshops_pct_share
9338397.471216964,22714821.95959851,30.0,341937.35891374457,7485848.603910685,33878.52487576611,1476732.9835167697,0.03661627811063646,0.8016202594699733,0.0036278735168627516,0.15813558890252766,9733911.670518883,12789578.716902867,191331.5721767611,0.4285268749995931,0.5630499213091312,0.008423203691275727
4545594.127680342,10376605.357725985,27.72,193089.03207175466,2708673.4348050766,21275.158138542465,1622556.5026649684,0.042478282628873806,0.595889857017951,0.004680391064610816,0.3569514692885644,6297924.141466199,3948255.2018123292,130426.01444745653,0.6069349198846643,0.3804958428791574,0.012569237236178284
2558591.183636292,9866194.7269774,26.22,206054.30408262278,2252886.918290857,68344.042305052,31305.918957759728,0.08053428206915675,0.8805185184328803,0.026711591418806056,0.01223560807915686,7027697.200472343,2755047.866696352,83449.65980870785,0.7123006787263505,0.27924118091478073,0.008458140358868977
1361786.2049441105,8098757.358132194,26.55,176935.1796539173,922555.53874759,115883.37786605385,146412.10867654934,0.12992875020435307,0.6774598945107194,0.08509660139405646,0.10751475389087106,3494454.4417625605,4553692.551342929,50610.365026705076,0.43148032312064255,0.5622705249676897,0.006249151911667752
2372708.933881035,15536155.98208496,22.88,353938.8490867668,1415922.8195484013,2087.890456989247,600759.3747888778,0.14917078282662752,0.5967536933543632,0.0008799606336770895,0.2531955631853322,10187658.313508993,5225930.014501437,122567.654074531,0.6557386734052219,0.3363721386762309,0.007889187918547298
1803169.705464256,5183859.967627523,21.46,227224.46758670922,981225.6459154115,49586.797478989254,545132.7944831458,0.12601391144612564,0.544167109142275,0.027499795126727858,0.3023191842848715,3787211.6562097683,1346916.919266608,49731.39215114701,0.7305775387183244,0.2598289551951471,0.009593506086528682
1903876.9245350615,8657810.725885883,25.71,122315.55613336495,1064885.3079517933,689.6551724137931,715986.4052774893,0.06424551637613611,0.5593246570871933,0.00036223726624671983,0.3760675892704239,5359304.560242741,3204149.050053499,94357.11558964108,0.6190138280823144,0.37008767591481906,0.010898496002866393
1455418.0197661642,3525943.2194242664,18.32,192900.41960250202,447313.3567662093,22604.65368688907,792599.589710564,0.13253952952533493,0.30734356088162024,0.015531382310712947,0.544585527282332,2264326.816676756,1205260.8583187605,56355.544428750785,0.642190380208813,0.3418265080614547,0.015983111729732505
638425.0988280211,2680329.369617189,19.73,16129.489748933884,187693.85974022778,247.494704189426,434354.25463467,0.025264498182391862,0.2939951140467125,0.00038766443337481647,0.6803527233375207,1634146.8332061535,1038123.1405005261,8059.395910509161,0.609681351751015,0.3873117805103159,0.0030068677386690815
533930.1447836263,3698850.2809596676,17.56,76009.12972676523,320991.9787968896,20117.108718177184,116811.92754179424,0.1423578167843805,0.6011872188392186,0.037677417008042474,0.21877754736835836,2094057.869638086,1581196.0173095616,23596.39401202007,0.5661375050559717,0.4274831088592534,0.006379386084774965
355601.3860853792,1969617.1217231965,18.4,30117.7367681488,240320.15212407135,7651.791319146596,77511.7058740125,0.08469521758533749,0.6758133166173063,0.021517889464326822,0.2179735763330295,1104939.6639713992,857989.4122829566,6688.045468840595,0.5609921094738959,0.4356122836362791,0.003395606889825012
1034351.9492173375,4259300.010670436,20.19,150345.18638642863,615361.314562179,36035.16951034831,232610.2787583814,0.14535205980922666,0.5949244984048264,0.034838402477623806,0.22488503930832293,2274916.186050255,1914898.4806215868,69485.3439985927,0.5341056465501643,0.44958055920558926,0.0163137942442461
280186.4231976475,2576576.78595599,17.74,30908.781189904566,108265.53133616142,20266.44713387064,120745.66353771092,0.11031505680095381,0.38640534434385987,0.0723320098903379,0.43094758896484864,1245246.049648011,1278261.5701920334,53069.166115946115,0.48329475621895196,0.496108471193013,0.020596772588035175
200954.483016124,1374968.1895315677,13.48,31201.136939786837,122013.91984030775,18370.229480023165,29369.19675600626,0.15526469711692548,0.607171922760826,0.09141487765938117,0.14614850246286748,726163.9520912407,644524.6355755012,4279.601864825836,0.5281314561456396,0.4687560341269289,0.003112509727431466
609678.8049413121,3292620.0400854456,18.2,105312.32354447206,361500.3931889729,1902.5554011297766,140963.53280673735,0.1727341063703362,0.5929358053110786,0.0031205864230640546,0.23120950189552114,1994271.1837761877,1274464.0643446564,23884.791964601518,0.6056791125296179,0.38706684914411904,0.007254038326263024
165294.2998115497,997374.0149584891,10.2,10108.679195845953,61963.72150940654,818.0635725447652,92403.83553375241,0.06115564304014568,0.3748690764294397,0.004949133596726753,0.5590261469336878,749797.8924419052,246636.46840004984,939.6541165338235,0.7517720345592841,0.2472858373098029,0.0009421281309127871
1725005.801388412,2955164.3970130496,24.24,61918.15077724401,761612.0047015749,56501.70257037736,844973.9433392157,0.035894459443213296,0.4415127207621988,0.03275450002829012,0.48983831976629777,1385647.2667306128,1565145.469222855,4371.661059581694,0.4688900787147965,0.5296305920593911,0.0014793292258124039
115798.23212090047,1839380.50639332,13.97,57038.89184788352,47112.19307330505,487.92032896705376,11159.226870744862,0.49257135280209985,0.40684725673632927,0.004213538670069116,0.09636785179150181,1050555.7927931028,777163.2894251486,11661.42417506851,0.5711465295742671,0.42251360538174887,0.006339865043983953
