Rank,University_Name,State,University_Type,Year,SS_Score,TOTAL FACULTY,UG4_2023-24,UG4_2022-23,UG4_2021-22,UG4_2020-21,UG4_2019-20,UG4_2018-19,UG5_2023-24,UG5_2022-23,UG5_2021-22,UG5_2020-21,UG5_2019-20,UG5_2018-19,PG2_2023-24,PG2_2022-23,PG2_2021-22,PG2_2020-21,PG2_2019-20,PG2_2018-19,PG3_2023-24,PG3_2022-23,PG3_2021-22,PG3_2020-21,PG3_2019-20,PG3_2018-19,PG_INTEGRATED_2023-24,PG_INTEGRATED_2022-23,PG_INTEGRATED_2021-22,PG_INTEGRATED_2020-21,PG_INTEGRATED_2019-20,PG_INTEGRATED_2018-19,TOTAL_SANCTIONED (Incl UG + PG),NE_UG4_Male,NE_UG4_Female,NE_UG4_Total,NE_UG4_WithinState,NE_UG4_OutsideState,NE_UG4_OutsideCountry,NE_UG4_EconomicallyBackward,NE_UG4_SociallyChallenged,NE_UG4_FeeReimb_State,NE_UG4_FeeReimb_Institute,NE_UG4_FeeReimb_Private,NE_UG4_NoFullReimb,NE_UG5_Male,NE_UG5_Female,NE_UG5_Total,NE_UG5_WithinState,NE_UG5_OutsideState,NE_UG5_OutsideCountry,NE_UG5_EconomicallyBackward,NE_UG5_SociallyChallenged,NE_UG5_FeeReimb_State,NE_UG5_FeeReimb_Institute,NE_UG5_FeeReimb_Private,NE_UG5_NoFullReimb,NE_PG2_Male,NE_PG2_Female,NE_PG2_Total,NE_PG2_WithinState,NE_PG2_OutsideState,NE_PG2_OutsideCountry,NE_PG2_EconomicallyBackward,NE_PG2_SociallyChallenged,NE_PG2_FeeReimb_State,NE_PG2_FeeReimb_Institute,NE_PG2_FeeReimb_Private,NE_PG2_NoFullReimb,NE_PG3_Male,NE_PG3_Female,NE_PG3_Total,NE_PG3_WithinState,NE_PG3_OutsideState,NE_PG3_OutsideCountry,NE_PG3_EconomicallyBackward,NE_PG3_SociallyChallenged,NE_PG3_FeeReimb_State,NE_PG3_FeeReimb_Institute,NE_PG3_FeeReimb_Private,NE_PG3_NoFullReimb,NE_PG_INTEGRATED_Male,NE_PG_INTEGRATED_Female,NE_PG_INTEGRATED_Total,NE_PG_INTEGRATED_WithinState,NE_PG_INTEGRATED_OutsideState,NE_PG_INTEGRATED_OutsideCountry,NE_PG_INTEGRATED_EconomicallyBackward,NE_PG_INTEGRATED_SociallyChallenged,NE_PG_INTEGRATED_FeeReimb_State,NE_PG_INTEGRATED_FeeReimb_Institute,NE_PG_INTEGRATED_FeeReimb_Private,NE_PG_INTEGRATED_NoFullReimb,TOTAL_ENROLLED,PhD_Grad_FT_2023-24,PhD_Grad_PT_2023-24,TOTAL_PHD_PURSUING,NT_UG4_total,NT_UG5_total,NT_PG2_total,NT_PG3_total,NT_PG_INTEGRATED_total,NT_total,NE_total,Occupancy,Female_total,OutsideState_total,OutsideCountry_total,EWS_total,SCSTOBC_total,FeeReimb_total,Female_ratio,Outside_state_ratio,International_ratio,EWS_ratio,SCSTOBC_ratio,FeeReimb_ratio,NP_total
39,Indian Institute of Technology Bhubaneswar,Bhubaneshwar,Central,2025,11.05,201,353,355,355,355,0,0,123,120,120,120,108,0,296,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2551,1069,272,1341,61,1280,0,158,690,338,273,9,228,436,112,548,28,520,0,55,287,132.0,154,0,56,334,58,392,60,330,2,33,210,63,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2281,450,0,450,1418,591,542,0,0,2551,2281,0.8941591532732261,442,2130,2,246,1187,1149.0,0.19377466023673828,0.9338009644892591,0.0008768084173608067,0.10784743533537922,0.5203857957036387,0.5037264357737834,450
40,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Deemed,2025,17.5,680,2605,2220,1980,1920,0,0,0,0,0,0,0,0,99,81,0,0,0,0,0,0,0,0,0,0,76,48,48,48,48,0,9173,4861,4104,8965,2187,7658,20,2618,1924,160,2744,24,1614,0,0,0,0,0,0,0,0,0.0,0,0,0,112,74,186,154,32,0,51,45,10,5,3,78,0,0,0,0,0,0,0,0,0,0,0,0,69,149,218,201,17,0,68,43,3,8,2,98,9369,652,112,764,8725,0,180,0,268,9173,9369,1.021367055488935,4327,7707,20,2737,2012,2959.0,0.4618422457039172,0.8226064681396094,0.002134699541039599,0.2921336321912691,0.21475077382858362,0.3158287970968086,764
41,Institute of Chemical Technology,Mumbai,Deemed,2025,11.5,183,211,211,211,211,0,0,0,0,0,0,0,0,385,385,0,0,0,0,0,0,0,0,0,0,120,120,120,120,120,0,2214,669,271,940,827,110,3,119,319,258,0,51,129,0,0,0,0,0,0,0,0,0.0,0,0,0,310,270,580,413,167,0,15,338,270,0,0,83,423,147,570,340,230,0,6,256,19,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,2090,334,55,389,844,0,770,0,600,2214,2090,0.9439927732610659,688,507,3,140,913,598.0,0.3291866028708134,0.24258373205741626,0.0014354066985645933,0.06698564593301436,0.4368421052631579,0.2861244019138756,389
42,Malaviya National Institute of Technology,Jaipur,Central,2025,15.39,328,811,811,811,832,0,0,0,0,0,0,0,0,404,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4180,2634,701,3335,1593,1672,70,292,1615,47,1483,8,369,0,0,0,0,0,0,0,0,0.0,0,0,0,504,127,631,271,358,2,43,281,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3966,559,260,819,3265,0,915,0,0,4180,3966,0.9488038277511962,828,2030,72,335,1896,1862.0,0.2087745839636914,0.5118507312153303,0.018154311649016642,0.08446797781139688,0.47806354009077157,0.4694906707009581,819
43,UPES ,Dehradun,Private,2025,15.5,497,2225,1470,1205,1260,0,0,0,0,0,0,0,0,75,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6460,4937,1516,6453,1346,5100,7,985,387,0,48,0,1324,0,0,0,0,0,0,0,0,0.0,0,0,0,106,20,126,17,109,0,7,25,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6579,165,94,259,6160,0,300,0,0,6460,6579,1.018421052631579,1536,5209,7,992,412,48.0,0.23347013223894209,0.7917616659066727,0.0010639914880680955,0.1507827937376501,0.06262349901200791,0.00729594163246694,259
44,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Central,2025,13.31,266,855,855,855,855,0,0,0,0,0,0,0,0,434,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4288,2541,693,3234,1496,1670,68,376,1773,716,789,2,642,0,0,0,0,0,0,0,0,0.0,0,0,0,337,114,451,246,205,0,31,267,102,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3685,429,109,538,3420,0,868,0,0,4288,3685,0.859375,807,1875,68,407,2040,1609.0,0.21899592944369065,0.508819538670285,0.018453188602442334,0.11044776119402985,0.55359565807327,0.43663500678426054,538
45,Saveetha Institute of Medical and Technical Sciences,Chennai,Deemed,2025,16.02,621,2910,1410,1410,1800,0,0,0,0,0,0,0,0,306,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7926,3934,3376,7310,1730,5573,7,780,1671,12,1878,53,508,0,0,0,0,0,0,0,0,0.0,0,0,0,220,116,336,134,200,2,37,146,0,127,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7646,293,352,645,7530,0,396,0,0,7926,7646,0.9646732273530154,3492,5773,9,817,1817,2073.0,0.4567093905309966,0.7550353125817421,0.0011770860580695788,0.10685325660476067,0.2376405963902694,0.27112215537535966,645
46,Symbiosis International,Pune,Deemed,2025,10.8,183,600,600,600,540,0,0,0,0,0,0,0,0,126,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2562,1730,639,2369,1267,973,129,0,109,50,51,0,8,0,0,0,0,0,0,0,0,0.0,0,0,0,103,33,136,91,45,0,0,15,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505,226,44,270,2340,0,222,0,0,2562,2505,0.977751756440281,672,1018,129,0,124,111.0,0.2682634730538922,0.4063872255489022,0.05149700598802395,0.0,0.04950099800399202,0.04431137724550898,270
47,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Private,2025,12.5,340,840,840,780,780,0,0,0,0,0,0,0,0,162,180,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,3642,2316,1278,3594,3014,507,73,484,2197,668,1010,462,541,0,0,0,0,0,0,0,0,0.0,0,0,0,58,43,101,93,8,0,9,74,15,18,10,40,0,0,0,0,0,0,0,0,0,0,0,0,42,20,62,49,13,0,13,30,6,8,8,21,3757,232,248,480,3240,0,342,0,60,3642,3757,1.0315760571114772,1341,528,73,506,2301,2205.0,0.3569337237157306,0.14053766302901252,0.01943039659302635,0.13468192706947033,0.6124567474048442,0.586904445035933,480
48,Lovely Professional University,Phagwara,Private,2025,18.0,1077,4710,6095,3085,4150,0,0,0,0,0,0,0,0,123,96,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,18304,15594,3046,18640,869,17191,580,8419,267,313,2676,0,5697,0,0,0,0,0,0,0,0,0.0,0,0,0,140,59,199,8,170,21,109,5,7,90,0,17,0,0,0,0,0,0,0,0,0,0,0,0,37,4,41,0,40,1,8,0,0,7,0,1,18880,351,309,660,18040,0,219,0,45,18304,18880,1.0314685314685315,3109,17401,602,8536,272,3093.0,0.16467161016949153,0.9216631355932203,0.03188559322033898,0.4521186440677966,0.01440677966101695,0.16382415254237287,660
