Rank,University_Name,State,University_Type,Year,SS_Score,TOTAL FACULTY,UG4_2023-24,UG4_2022-23,UG4_2021-22,UG4_2020-21,UG4_2019-20,UG4_2018-19,UG5_2023-24,UG5_2022-23,UG5_2021-22,UG5_2020-21,UG5_2019-20,UG5_2018-19,PG2_2023-24,PG2_2022-23,PG2_2021-22,PG2_2020-21,PG2_2019-20,PG2_2018-19,PG3_2023-24,PG3_2022-23,PG3_2021-22,PG3_2020-21,PG3_2019-20,PG3_2018-19,PG_INTEGRATED_2023-24,PG_INTEGRATED_2022-23,PG_INTEGRATED_2021-22,PG_INTEGRATED_2020-21,PG_INTEGRATED_2019-20,PG_INTEGRATED_2018-19,TOTAL_SANCTIONED (Incl UG + PG),NE_UG4_Male,NE_UG4_Female,NE_UG4_Total,NE_UG4_WithinState,NE_UG4_OutsideState,NE_UG4_OutsideCountry,NE_UG4_EconomicallyBackward,NE_UG4_SociallyChallenged,NE_UG4_FeeReimb_State,NE_UG4_FeeReimb_Institute,NE_UG4_FeeReimb_Private,NE_UG4_NoFullReimb,NE_UG5_Male,NE_UG5_Female,NE_UG5_Total,NE_UG5_WithinState,NE_UG5_OutsideState,NE_UG5_OutsideCountry,NE_UG5_EconomicallyBackward,NE_UG5_SociallyChallenged,NE_UG5_FeeReimb_State,NE_UG5_FeeReimb_Institute,NE_UG5_FeeReimb_Private,NE_UG5_NoFullReimb,NE_PG2_Male,NE_PG2_Female,NE_PG2_Total,NE_PG2_WithinState,NE_PG2_OutsideState,NE_PG2_OutsideCountry,NE_PG2_EconomicallyBackward,NE_PG2_SociallyChallenged,NE_PG2_FeeReimb_State,NE_PG2_FeeReimb_Institute,NE_PG2_FeeReimb_Private,NE_PG2_NoFullReimb,NE_PG3_Male,NE_PG3_Female,NE_PG3_Total,NE_PG3_WithinState,NE_PG3_OutsideState,NE_PG3_OutsideCountry,NE_PG3_EconomicallyBackward,NE_PG3_SociallyChallenged,NE_PG3_FeeReimb_State,NE_PG3_FeeReimb_Institute,NE_PG3_FeeReimb_Private,NE_PG3_NoFullReimb,NE_PG_INTEGRATED_Male,NE_PG_INTEGRATED_Female,NE_PG_INTEGRATED_Total,NE_PG_INTEGRATED_WithinState,NE_PG_INTEGRATED_OutsideState,NE_PG_INTEGRATED_OutsideCountry,NE_PG_INTEGRATED_EconomicallyBackward,NE_PG_INTEGRATED_SociallyChallenged,NE_PG_INTEGRATED_FeeReimb_State,NE_PG_INTEGRATED_FeeReimb_Institute,NE_PG_INTEGRATED_FeeReimb_Private,NE_PG_INTEGRATED_NoFullReimb,TOTAL_ENROLLED,PhD_Grad_FT_2023-24,PhD_Grad_PT_2023-24,TOTAL_PHD_PURSUING,NT_UG4_total,NT_UG5_total,NT_PG2_total,NT_PG3_total,NT_PG_INTEGRATED_total,NT_total,NE_total,Occupancy,Female_total,OutsideState_total,OutsideCountry_total,EWS_total,SCSTOBC_total,FeeReimb_total,Female_ratio,Outside_state_ratio,International_ratio,EWS_ratio,SCSTOBC_ratio,FeeReimb_ratio,NP_total
49,National Institute of Technology Durgapur,Durgapur,Central,2025,14.07,283,876,876,876,876,0,0,14,14,14,14,10,0,305,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4180,2680,767,3447,1381,1989,77,551,1695,451,1788,7,0,35,18,53,28,25,0,8,31,3.0,36,0,0,263,92,355,117,235,3,27,215,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3855,424,190,614,3504,66,610,0,0,4180,3855,0.9222488038277512,877,2249,80,586,1941,2527.0,0.22749675745784695,0.5833981841763943,0.020752269779507133,0.15201037613488974,0.5035019455252918,0.6555123216601816,614
50,National Institute of Technology Silchar,Silchar,Central,2025,14.42,257,825,825,825,825,0,0,0,0,0,0,0,0,368,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4036,2848,674,3522,1691,1699,132,798,1789,575,1056,1,955,0,0,0,0,0,0,0,0,0.0,0,0,0,253,66,319,131,185,3,16,151,3,82,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3841,315,331,646,3300,0,736,0,0,4036,3841,0.9516848364717542,740,1884,135,814,1940,1717.0,0.1926581619369956,0.49049726633689145,0.03514709711012757,0.21192397813069513,0.5050768029159073,0.4470190054673262,646
51,Birla Institute of Technology,Ranchi,Deemed,2025,18.5,280,930,840,780,780,0,0,0,0,0,0,0,0,220,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3740,3064,436,3500,1998,1438,74,631,1219,446,108,43,1253,0,0,0,0,0,0,0,0,0.0,0,0,0,164,59,223,73,150,0,10,50,14,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3723,352,82,434,3330,0,410,0,0,3740,3723,0.9954545454545455,495,1588,74,641,1269,612.0,0.13295729250604352,0.42653773838302445,0.0198764437281762,0.17217297878055332,0.3408541498791297,0.1643835616438356,434
52,Graphic Era University,Dehradun,Private,2025,13.45,360,1350,1110,1110,1110,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4860,3236,1431,4667,2167,2450,50,280,742,0,280,0,742,0,0,0,0,0,0,0,0,0.0,0,0,0,63,28,91,63,28,0,20,17,0,20,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4758,54,220,274,4680,0,180,0,0,4860,4758,0.9790123456790123,1459,2478,50,300,759,300.0,0.3066414459857083,0.5208070617906684,0.010508617065994116,0.06305170239596469,0.15952080706179067,0.06305170239596469,274
53,National Institute of Technology Patna,Patna,Central,2025,12.3,173,746,753,759,766,0,0,0,0,0,0,0,0,265,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3527,2320,570,2890,1719,1154,17,878,1653,564,1769,198,0,0,0,0,0,0,0,0,0,0.0,0,0,0,208,27,235,133,102,0,20,103,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3125,333,1009,1342,3024,0,503,0,0,3527,3125,0.8860221151119932,597,1256,17,898,1756,2531.0,0.19104,0.40192,0.00544,0.28736,0.56192,0.80992,1342
54,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,Central,2025,12.27,279,740,740,740,740,0,0,0,0,0,0,0,0,420,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3806,2192,572,2764,1304,1421,39,344,1317,527,859,80,195,0,0,0,0,0,0,0,0,0.0,0,0,0,197,38,235,176,59,0,17,91,51,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2999,747,0,747,2960,0,846,0,0,3806,2999,0.7879663688912244,610,1480,39,361,1408,1517.0,0.20340113371123708,0.49349783261087027,0.01300433477825942,0.1203734578192731,0.46948982994331445,0.5058352784261421,747
55,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Central,2025,14.0,397,1103,1112,1117,1117,0,0,0,0,0,0,0,0,380,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5463,3444,999,4459,1867,2576,16,694,2312,0,2180,0,826,0,0,0,0,0,0,0,0,0.0,0,0,0,307,90,397,42,355,0,47,165,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4856,242,236,478,4449,0,1014,0,0,5463,4856,0.8888888888888888,1089,2931,16,741,2477,2392.0,0.22425864909390444,0.6035831960461285,0.0032948929159802307,0.15259472817133443,0.5100906095551895,0.4925864909390445,478
56,Indian Institute of Technology Jammu,Jammu,Central,2025,7.95,138,280,240,240,237,0,0,0,0,0,0,0,0,174,92,0,0,0,0,30,48,8,0,0,0,0,0,0,0,0,0,1349,678,171,849,29,820,0,145,446,4,355,0,232,0,0,0,0,0,0,0,0,0.0,0,0,0,162,19,181,18,163,0,0,82,0,32,0,50,0,0,0,0,0,0,0,0,0,0,0,0,32,9,41,4,37,0,0,19,0,4,0,15,1071,208,5,213,997,0,266,86,0,1349,1071,0.7939214232765011,199,1020,0,145,547,395.0,0.1858076563958917,0.9523809523809523,0.0,0.1353874883286648,0.5107376283846872,0.36881419234360413,213
57,"Indian Institute of Technology, Tirupati",Tirupati,Central,2025,8.71,124,244,237,237,237,0,0,0,0,0,0,0,0,155,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,721,185,906,350,556,0,108,473,205,322,8,46,0,0,0,0,0,0,0,0,0.0,0,0,0,145,35,180,57,122,1,29,107,0,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,148,27,175,955,0,258,0,0,1213,1086,0.8953009068425392,220,678,1,137,580,571.0,0.20257826887661143,0.6243093922651933,0.0009208103130755065,0.1261510128913444,0.5340699815837937,0.5257826887661142,175
58,Manipal University,Jaipur,Deemed,2025,14.84,647,3180,2460,2130,1410,0,0,0,0,0,0,0,0,60,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9324,5257,3580,8837,695,7812,330,38,148,2,84,0,100,0,0,0,0,0,0,0,0,0.0,0,0,0,21,9,30,9,21,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8867,237,158,395,9180,0,144,0,0,9324,8867,0.950986700986701,3589,7833,330,44,148,92.0,0.40475921957821137,0.8833878425623097,0.03721664599075223,0.00496221946543363,0.016691101838276757,0.010375549791361228,395
59,Manipal Institute of Technology,Manipal,Deemed,2025,15.89,735,2400,2340,2280,2040,0,0,0,0,0,0,0,0,775,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10610,6306,1920,8226,1704,6366,156,436,37,33,375,4,61,0,0,0,0,0,0,0,0,0.0,0,0,0,549,341,890,620,269,1,31,41,29,34,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9116,370,102,472,9060,0,1550,0,0,10610,9116,0.8591894439208294,2261,6635,157,467,78,475.0,0.24802544975866608,0.7278411584028083,0.017222465993856954,0.051228609039052214,0.008556384379113647,0.05210618692408951,472
60,Madan Mohan Malaviya University of Technology,Gorakhpur,State,2025,13.5,243,780,780,780,720,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3276,1608,1452,3060,1646,1406,8,674,1560,536,1672,26,0,0,0,0,0,0,0,0,0,0.0,0,0,0,111,105,216,127,89,0,48,110,39,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3276,316,0,316,3060,0,216,0,0,3276,3276,1.0,1557,1495,8,722,1670,2392.0,0.47527472527472525,0.45634920634920634,0.002442002442002442,0.22039072039072038,0.5097680097680097,0.7301587301587301,316
61,Indian Institute of Space Science and Technology,Thiruvananthpuram,Central,2025,8.65,103,144,144,134,132,0,0,24,24,22,22,22,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,464,60,524,35,489,0,84,250,103,155,0,76,89,10,99,9,90,0,13,53,24.0,26,0,16,194,70,264,42,222,0,12,117,120,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,256,109,365,554,114,510,0,0,1178,887,0.7529711375212224,140,801,0,109,420,437.0,0.15783540022547915,0.90304396843292,0.0,0.12288613303269448,0.47350620067643745,0.4926719278466742,365
62,Motilal Nehru National Institute of Technology,Prayagraj,Central,2025,15.79,262,1104,1074,1074,1074,0,0,0,0,0,0,0,0,595,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5516,3678,900,4578,2166,2261,151,1327,2078,1021,2262,78,44,0,0,0,0,0,0,0,0,0.0,0,0,0,535,114,649,357,292,0,61,197,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5227,437,168,605,4326,0,1190,0,0,5516,5227,0.9476069615663524,1014,2553,151,1388,2275,3619.0,0.19399273005548115,0.48842548306868183,0.02888846374593457,0.26554428926726614,0.4352400994834513,0.6923665582552133,605
63,Indraprastha Institute of Information Technology,New Delhi,Central,2025,12.0,184,480,480,480,480,0,0,0,0,0,0,0,0,240,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,1972,254,2226,1248,794,184,199,930,162,38,19,910,0,0,0,0,0,0,0,0,0.0,0,0,0,352,113,465,86,378,1,21,167,5,0,2,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2691,342,0,342,1920,0,480,0,0,2400,2691,1.12125,367,1172,185,220,1097,226.0,0.13638052768487552,0.43552582683017466,0.06874767744332962,0.08175399479747306,0.40765514678558157,0.08398364920104051,342
64,Indian Institute of Technology Palakkad,Palakkad,Central,2025,7.23,130,200,180,169,188,0,0,0,0,0,0,0,0,137,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994,516,150,666,81,585,0,85,358,171,169,0,103,0,0,0,0,0,0,0,0,0.0,0,0,0,147,53,200,45,151,4,16,97,38,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,184,21,205,737,0,257,0,0,994,866,0.8712273641851107,203,736,4,101,455,378.0,0.23441108545034642,0.8498845265588915,0.004618937644341801,0.11662817551963048,0.5254041570438799,0.43648960739030024,205
65,National Institute of Technology Delhi,Delhi,Central,2025,8.5,56,362,312,182,182,0,0,0,0,0,0,0,0,113,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,802,272,1074,358,684,32,758,68,687,23,112,0,0,0,0,0,0,0,0,0,0.0,0,0,0,120,68,188,34,154,0,17,78,25,58,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,68,3,71,1038,0,188,0,0,1226,1262,1.0293637846655792,340,838,32,775,146,905.0,0.2694136291600634,0.6640253565768621,0.025356576862123614,0.6141045958795562,0.11568938193343899,0.7171156893819335,71
66,Sardar Vallabhbhai National Institute of Technology,Surat,Central,2025,13.2,283,1100,866,1017,991,0,0,0,0,0,0,0,0,475,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4924,2863,755,3618,1727,1766,125,747,1658,807,546,8,1044,0,0,0,0,0,0,0,0,0.0,0,0,0,443,126,569,240,329,0,0,222,103,0,3,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4187,339,248,587,3974,0,950,0,0,4924,4187,0.8503249390739236,881,2095,125,747,1880,1467.0,0.21041318366372105,0.50035825173155,0.029854310962502986,0.17840936231191784,0.4490088368760449,0.35037019345593506,587
67,PSG College of Technology,Coimbatore,Private,2025,15.19,468,1254,1254,1140,1140,0,0,180,180,180,180,180,0,270,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6379,3287,1821,5108,4921,161,26,461,4647,860,181,2,4065,711,110,821,813,8,0,37,784,189.0,58,0,574,179,124,303,298,5,0,34,269,9,0,1,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6232,127,219,346,4788,900,691,0,0,6379,6232,0.9769556356795736,2055,174,26,532,5700,1300.0,0.3297496790757381,0.0279204107830552,0.00417201540436457,0.08536585365853659,0.9146341463414634,0.2086007702182285,346
68,Sathyabama Institute of Science and Technology,Chennai,Private,2025,17.99,1092,2970,2730,2580,2940,0,0,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11520,6608,4612,11220,1486,9608,126,1619,6412,0,1148,301,6582,0,0,0,0,0,0,0,0,0.0,0,0,0,98,193,291,93,198,0,23,151,0,133,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11511,446,362,808,11220,0,300,0,0,11520,11511,0.99921875,4805,9806,126,1642,6563,1596.0,0.41742680913908436,0.8518808096603249,0.0109460516028147,0.14264616453826776,0.5701502910259751,0.1386499869689862,808
69,International Institute of Information Technology Bangalore,Bengaluru,Central,2025,8.19,77,0,0,0,0,0,0,0,0,0,0,0,0,180,180,0,0,0,0,0,0,0,0,0,0,180,180,120,120,120,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,268,92,360,30,329,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,47,676,127,549,0,32,0,0,32,0,0,1036,73,21,94,0,0,360,0,720,1080,1036,0.9592592592592593,139,878,1,33,0,33.0,0.13416988416988418,0.8474903474903475,0.0009652509652509653,0.03185328185328185,0.0,0.03185328185328185,94
70,Netaji Subhas University of Technology (NSUT),Delhi,State,2025,15.48,521,2054,2005,1876,1876,0,0,0,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8111,6051,1169,7220,4526,2474,220,748,3419,1062,1100,0,2005,0,0,0,0,0,0,0,0,0.0,0,0,0,191,87,278,109,169,0,17,86,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7498,296,0,296,7811,0,300,0,0,8111,7498,0.9244236222414006,1256,2643,220,765,3505,2162.0,0.1675113363563617,0.35249399839957324,0.029341157642037877,0.10202720725526807,0.46745798879701256,0.2883435582822086,296
71,Banasthali Vidyapith,Banasthali,Deemed,2025,10.89,312,1050,1050,930,930,0,0,0,0,0,0,0,0,144,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4302,0,3146,3146,251,2851,44,1792,693,113,838,43,1491,0,0,0,0,0,0,0,0,0.0,0,0,0,0,41,41,2,39,0,21,5,1,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3187,231,0,231,3960,0,342,0,0,4302,3187,0.7408182240818224,3187,2890,44,1813,698,1012.0,1.0,0.9068089112017571,0.013806087229369313,0.5688735487919674,0.21901474741135865,0.31754000627549417,231
72,Indian Institute of Technology Bhilai,Durg,Central,2025,6.22,77,230,190,170,170,0,0,0,0,0,0,0,0,130,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,594,153,747,25,722,0,88,387,7,322,0,146,0,0,0,0,0,0,0,0,0.0,0,0,0,71,17,88,17,71,0,12,51,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,74,12,86,760,0,199,0,0,959,835,0.8706986444212722,170,793,0,100,438,392.0,0.20359281437125748,0.9497005988023952,0.0,0.11976047904191617,0.5245508982035928,0.4694610778443114,86
73,National Institute of Technology Srinagar,Srinagar,Central,2025,13.01,222,899,899,899,778,0,0,0,0,0,0,0,0,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3975,2583,861,3444,1456,1988,0,1225,1914,0,2721,276,142,0,0,0,0,0,0,0,0,0.0,0,0,0,225,122,347,232,115,0,231,69,113,101,35,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3791,330,30,360,3475,0,500,0,0,3975,3791,0.9537106918238993,983,2103,0,1456,1983,3246.0,0.25929833816934844,0.5547348984436824,0.0,0.38406752835663416,0.5230809812714323,0.8562384595093643,360
74,University of Hyderabad,Hyderabad,State,2025,4.61,59,0,0,0,0,0,0,0,0,0,0,0,0,61,274,0,0,0,0,0,0,0,0,0,0,37,38,29,30,21,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,78,57,135,32,99,4,7,66,0,1,0,72,0,0,0,0,0,0,0,0,0,0,0,0,121,28,149,83,58,8,25,87,0,35,0,77,284,180,12,192,0,0,335,0,155,490,284,0.5795918367346938,85,157,12,32,153,36.0,0.2992957746478873,0.5528169014084507,0.04225352112676056,0.11267605633802817,0.5387323943661971,0.1267605633802817,192
75,M. S. Ramaiah Institute of Technology,Bengaluru,State,2025,14.5,398,1401,1260,1260,1080,0,0,0,0,0,0,0,0,180,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5445,3130,1684,4814,2861,1834,119,524,1115,1391,50,0,198,0,0,0,0,0,0,0,0,0.0,0,0,0,111,115,226,215,11,0,80,45,112,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5040,140,217,357,5001,0,444,0,0,5445,5040,0.9256198347107438,1799,1845,119,604,1160,1553.0,0.35694444444444445,0.36607142857142855,0.02361111111111111,0.11984126984126985,0.23015873015873015,0.30813492063492065,357
76,Christ University,Bengaluru,Deemed,2025,10.15,216,780,780,660,660,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3048,1964,720,2684,592,2073,19,276,269,12,391,3,139,0,0,0,0,0,0,0,0,0.0,0,0,0,84,34,118,42,76,0,22,39,0,35,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802,35,97,132,2880,0,168,0,0,3048,2802,0.9192913385826772,754,2149,19,298,308,442.0,0.2690935046395432,0.7669521770164168,0.006780870806566738,0.10635260528194147,0.10992148465381871,0.15774446823697358,132
77,Indian Institute of Technology Dharwad,Dharwad,Central,2025,8.04,112,248,251,180,170,0,0,57,58,0,0,0,0,56,22,0,0,0,0,11,60,19,0,0,0,0,0,0,0,0,0,1132,618,153,771,62,709,0,111,408,191,179,0,149,45,7,52,0,52,0,8,28,17.0,14,0,5,40,8,48,9,39,0,4,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,40,8,32,0,3,11,14,0,0,0,911,148,4,152,849,115,78,90,0,1132,911,0.8047703180212014,174,832,0,126,472,444.0,0.19099890230515917,0.9132821075740944,0.0,0.13830954994511527,0.5181119648737651,0.48737650933040616,152
78,Rajiv Gandhi Institute of Petroleum Technology,Amethi,Central,2025,9.5,118,429,409,207,182,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1284,1045,182,1227,458,762,7,246,530,115,82,6,573,0,0,0,0,0,0,0,0,0.0,0,0,0,13,3,16,10,6,0,0,7,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,27,14,41,18,23,0,9,24,2,6,1,24,1284,168,62,230,1227,0,16,0,41,1284,1284,1.0,199,791,7,255,561,213.0,0.15498442367601245,0.6160436137071651,0.005451713395638629,0.1985981308411215,0.4369158878504673,0.1658878504672897,230
79,Sant Longowal Institute of Engineering & Technology,Longowal,Central,2025,10.0,169,237,237,237,237,0,0,0,0,0,0,0,0,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,1588,344,1932,188,1744,0,481,686,381,119,0,667,0,0,0,0,0,0,0,0,0.0,0,0,0,45,35,80,20,60,0,5,33,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,76,65,141,948,0,220,0,0,1168,2012,1.7226027397260273,379,1804,0,486,719,536.0,0.18836978131212723,0.8966202783300199,0.0,0.2415506958250497,0.3573558648111332,0.2664015904572565,141
80,"Vignan's Foundation for Science, Technology and Research",Guntur,Private,2025,17.3,610,2580,1830,1800,1830,0,0,0,0,0,0,0,0,180,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8382,4244,3745,7989,3751,3876,362,2329,2147,253,2367,1163,693,0,0,0,0,0,0,0,0,0.0,0,0,0,136,135,271,145,120,6,64,67,19,89,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8260,512,143,655,8040,0,342,0,0,8382,8260,0.9854450011930327,3880,3996,368,2393,2214,3901.0,0.46973365617433416,0.4837772397094431,0.04455205811138015,0.2897094430992736,0.26803874092009683,0.47227602905569005,655
81,Maulana Azad National Institute of Technology,Bhopal,Central,2025,14.72,263,1021,1021,1021,1021,0,0,0,0,0,0,0,0,578,578,0,0,0,0,0,0,0,0,0,0,30,30,30,0,0,0,5330,3210,848,4058,1989,2010,59,588,1998,2056,323,174,33,0,0,0,0,0,0,0,0,0.0,0,0,0,342,136,478,192,286,0,40,263,111,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,68,22,90,44,44,2,14,49,38,14,0,11,4626,475,0,475,4084,0,1156,0,90,5330,4626,0.8679174484052533,1006,2340,61,642,2310,2716.0,0.21746649373108518,0.5058365758754864,0.013186338089061824,0.13878080415045396,0.4993514915693904,0.587116299178556,475
82,"National Institute of Technology, Jamshedpur",Jamshedpur,Central,2025,12.14,221,751,751,751,751,0,0,0,0,0,0,0,0,320,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3756,2150,829,2979,1258,1686,35,414,1689,251,1832,16,4,0,0,0,0,0,0,0,0,0.0,0,0,0,173,117,290,47,243,0,52,172,115,106,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3269,251,27,278,3004,0,752,0,0,3756,3269,0.8703407880724174,946,1929,35,466,1861,2320.0,0.28938513306821656,0.5900887121443866,0.010706638115631691,0.14255123891098195,0.569287243805445,0.7096971550933007,278
83,National Institute of Technology Meghalaya,Shillong,Central,2025,6.44,106,172,175,165,153,0,0,0,0,0,0,0,0,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,485,155,640,290,323,27,130,430,7,460,3,90,0,0,0,0,0,0,0,0,0.0,0,0,0,23,14,37,19,17,1,7,27,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,163,105,268,665,0,250,0,0,915,677,0.7398907103825136,169,340,28,137,457,504.0,0.24963072378138848,0.5022156573116692,0.0413589364844904,0.20236336779911374,0.6750369276218612,0.7444608567208272,268
84,"Jain university,Bangalore",Bengaluru,Deemed,2025,14.05,442,1320,1320,1200,1260,0,0,0,0,0,0,0,0,174,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5457,3094,1641,4735,1335,2553,847,115,1735,1215,95,20,520,0,0,0,0,0,0,0,0,0.0,0,0,0,81,54,135,53,71,11,40,54,38,9,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4870,225,18,243,5100,0,357,0,0,5457,4870,0.8924317390507605,1695,2624,858,155,1789,1381.0,0.3480492813141684,0.5388090349075976,0.17618069815195073,0.03182751540041068,0.3673511293634497,0.2835728952772074,243
85,National Institute of Technology Kurukshetra,Kurukshatra,Central,2025,15.19,201,1161,1161,1157,1158,0,0,0,0,0,0,0,0,473,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5608,3642,940,4582,2182,2351,49,457,2382,468,2208,87,76,0,0,0,0,0,0,0,0,0.0,0,0,0,395,87,482,64,418,0,53,257,102,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5064,256,166,422,4637,0,971,0,0,5608,5064,0.9029957203994294,1027,2769,49,510,2639,2865.0,0.2028041074249605,0.5468009478672986,0.009676145339652449,0.10071090047393365,0.5211295418641391,0.5657582938388626,422
